,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
680,420,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
681,421,gnql,0.0,0.0,0.0,0.09491232260021532,0.0,1.0,0.0,0
682,422,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
684,423,gnql,0.0,0.0,0.0,0.17045199109613052,0.0,1.0,0.0,0
685,424,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
686,425,gnql,0.017094017094017096,0.042735042735042736,0.004273504273504274,0.3021721549167981,1.758780712708196e-05,0.35714285714285715,0.45550301118354736,1
687,426,gnql,0.051282051282051294,0.10256410256410257,0.011396011396011398,0.25220501592855504,5.384022589923048e-06,0.24285714285714285,0.3327205251345414,1
688,427,gnql,0.0,0.0,0.0,0.23632182211248,0.0,1.0,0.0,0
689,428,gnql,0.0,0.0,0.0,0.16708122558117566,0.0,1.0,0.0,0
691,430,gnql,0.017094017094017096,0.05982905982905984,0.004273504273504274,0.10566425175617139,0.0,1.0,0.0,0
692,431,gnql,0.0,0.0,0.0,0.23186896492113482,0.0,1.0,0.0,0
694,432,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
695,433,gnql,0.0,0.0,0.0,0.23842820108640547,0.0,1.0,0.0,0
697,434,gnql,0.025641025641025644,0.08547008547008547,0.0028490028490028487,0.2538207975980227,1.0768045179846097e-05,0.275,0.41924204093684225,1
698,435,gnql,0.008547008547008548,0.017094017094017096,0.0,0.25220501592855504,1.0768045179846097e-05,0.5,0.5,1
699,436,gnql,0.017094017094017096,0.025641025641025644,0.004273504273504274,0.1147548783282022,5.384022589923049e-07,0.4444444444444444,0.41573970964154905,1
700,437,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
702,438,gnql,0.017094017094017096,0.07692307692307693,0.0,0.22578394887848208,2.5125438752974226e-06,0.5238095238095238,0.40963453652583937,1
703,439,gnql,0.0,0.0,0.0,0.1766653474326398,0.0,1.0,0.0,0
704,440,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
705,441,gnql,0.0,0.0,0.0,0.18228601192847693,0.0,1.0,0.0,0
706,442,gnql,0.0,0.0,0.0,0.21132850351234278,0.0,1.0,0.0,0
707,443,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
708,444,gnql,0.008547008547008548,0.03418803418803419,0.0,0.18490743646226981,3.7688158129461337e-06,0.5,0.5,1
709,445,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.16708122558117566,1.794674196641016e-07,0.5,0.5,1
710,446,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.33166148239245447,4.684099653233052e-05,0.5,0.5,1
711,447,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
712,448,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.16708122558117566,2.333076455633321e-06,0.5,0.5,1
713,449,gnql,0.0,0.0,0.0,0.15563139074441446,0.0,1.0,0.0,0
715,450,gnql,0.051282051282051294,0.07692307692307693,0.02136752136752137,0.2755676589731114,5.9224248489153535e-06,0.34199134199134196,0.31102623284304864,1
716,451,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.15563139074441446,1.794674196641016e-06,0.5,0.5,1
717,452,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.15970006194017447,1.794674196641016e-07,0.5,0.5,1
719,453,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
720,454,gnql,0.0,0.0,0.0,0.1147548783282022,0.0,1.0,0.0,0
721,455,gnql,0.0,0.0,0.0,0.1766653474326398,0.0,1.0,0.0,0
722,456,gnql,0.0,0.0,0.0,0.1965079031606267,0.0,1.0,0.0,0
723,457,gnql,0.017094017094017096,0.05128205128205129,0.004273504273504274,0.24046193164738397,5.384022589923048e-06,0.45555555555555555,0.4130584510098024,1
724,458,gnql,0.0,0.0,0.0,0.15563139074441446,0.0,1.0,0.0,0
725,459,gnql,0.008547008547008548,0.07692307692307693,0.0,0.14654076417238365,7.178696786564064e-07,0.5,0.5,1
726,460,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
727,461,gnql,0.0,0.0,0.0,0.1147548783282022,0.0,1.0,0.0,0
728,462,gnql,0.025641025641025644,0.025641025641025644,0.025641025641025644,0.19436321801987744,1.974141616305118e-06,0.34090909090909094,0.3929912833134223,1
729,463,gnql,0.0,0.0,0.0,0.09491232260021532,0.0,1.0,0.0,0
731,464,gnql,0.03418803418803419,0.05128205128205129,0.005698005698005699,0.25841837226506426,6.460827107907658e-06,0.3888888888888889,0.4086261232985176,1
732,465,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
733,466,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
735,467,gnql,0.025641025641025644,0.05128205128205129,0.0,0.23070115761664284,6.101892268579455e-06,0.3088235294117647,0.40407740188335545,1
736,468,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
738,469,gnql,0.042735042735042736,0.06837606837606838,0.008547008547008548,0.26403903676090146,4.666152911266642e-06,0.4871794871794872,0.36734740466395904,1
739,470,gnql,0.0,0.0,0.0,0.16708122558117566,0.0,1.0,0.0,0
740,471,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
741,472,gnql,0.0,0.0,0.0,0.2096672009284175,0.0,1.0,0.0,0
742,473,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
743,474,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
744,475,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
745,476,gnql,0.0,0.0,0.0,0.15563139074441446,0.0,1.0,0.0,0
746,477,gnql,0.0,0.0,0.0,0.12957547867991828,0.0,1.0,0.0,0
