,dt,user_id,type,api_count,cluster_label
164,2021-08-17,27,riot,2,-1
165,2021-08-17,37,gnql,79,-1
166,2021-08-17,13,gnql,6,1
167,2021-08-17,13,riot,2,-1
168,2021-08-17,14,context,11,-1
169,2021-08-17,14,gnql,29,-1
170,2021-08-17,14,noise_quick,18,-1
171,2021-08-17,14,riot,12,-1
172,2021-08-17,15,gnql,2,-1
173,2021-08-17,28,gnql,5,-1
174,2021-08-17,28,riot,2,-1
175,2021-08-17,16,riot,1,-1
176,2021-08-17,18,context,14332,-1
177,2021-08-17,18,riot,13897,-1
178,2021-08-17,50,gnql,2,-1
179,2021-08-17,50,riot,1,-1
180,2021-08-17,51,gnql,4,-1
181,2021-08-17,21,context,1,-1
182,2021-08-17,21,gnql,1392,-1
183,2021-08-17,21,noise_quick,5572043,-1
184,2021-08-17,44,context,1,-1
185,2021-08-17,44,noise_quick,1,-1
186,2021-08-17,44,riot,2,-1
187,2021-08-17,24,context,3,-1
188,2021-08-17,24,gnql,12,-1
189,2021-08-17,24,noise_quick,2017,-1
190,2021-08-17,24,riot,1,-1
191,2021-08-18,0,gnql,144,-1
192,2021-08-18,4,context,169964,-1
193,2021-08-18,33,gnql,13,1
194,2021-08-18,6,context,350,-1
195,2021-08-18,7,gnql,5,-1
196,2021-08-18,10,gnql,10,-1
197,2021-08-18,10,riot,3,-1
198,2021-08-18,49,gnql,2,-1
199,2021-08-18,49,riot,1,-1
200,2021-08-18,29,gnql,19,-1
201,2021-08-18,29,riot,10,-1
202,2021-08-18,30,gnql,1,1
203,2021-08-18,37,gnql,16,-1
204,2021-08-18,14,context,11,-1
205,2021-08-18,14,gnql,153,-1
206,2021-08-18,14,noise_quick,1138253,-1
207,2021-08-18,14,riot,12,-1
208,2021-08-18,52,gnql,13,-1
209,2021-08-18,52,riot,4,-1
210,2021-08-18,40,gnql,9,1
211,2021-08-18,40,riot,2,0
212,2021-08-18,28,gnql,3,-1
213,2021-08-18,28,riot,2,-1
214,2021-08-18,18,context,33387,-1
215,2021-08-18,18,riot,33291,-1
216,2021-08-18,50,gnql,30,-1
217,2021-08-18,50,riot,8,-1
218,2021-08-18,53,gnql,9,0
219,2021-08-18,54,gnql,12,0
220,2021-08-18,55,gnql,16,0
221,2021-08-18,56,gnql,18,1
222,2021-08-18,56,riot,2,-1
223,2021-08-18,57,gnql,8,-1
224,2021-08-18,58,context,2,0
225,2021-08-18,59,context,2,0
226,2021-08-18,21,gnql,350,-1
227,2021-08-18,21,noise_quick,2,-1
228,2021-08-18,44,context,1,-1
229,2021-08-18,44,riot,2,-1
230,2021-08-18,24,gnql,12,-1
231,2021-08-19,45,gnql,2,-1
232,2021-08-19,45,riot,1,-1
233,2021-08-19,0,gnql,144,-1
234,2021-08-19,4,context,185293,-1
235,2021-08-19,60,gnql,4,1
236,2021-08-19,60,riot,1,0
237,2021-08-19,6,context,299,-1
238,2021-08-19,7,gnql,2,-1
239,2021-08-19,47,gnql,6,-1
240,2021-08-19,47,riot,2,-1
241,2021-08-19,10,gnql,2,-1
242,2021-08-19,10,riot,1,-1
243,2021-08-19,48,gnql,1,-1
244,2021-08-19,48,riot,1,0
245,2021-08-19,30,gnql,7,1
246,2021-08-19,30,riot,1,-1
247,2021-08-19,14,gnql,24,-1
248,2021-08-19,52,gnql,16,-1
249,2021-08-19,52,riot,6,-1
250,2021-08-19,31,gnql,3,-1
251,2021-08-19,31,riot,1,-1
252,2021-08-19,61,gnql,3,-1
253,2021-08-19,18,context,10331,-1
254,2021-08-19,18,riot,10296,-1
255,2021-08-19,50,gnql,8,-1
256,2021-08-19,50,riot,3,-1
257,2021-08-19,51,analysis,21,-1
258,2021-08-19,21,gnql,551,-1
259,2021-08-19,21,noise_quick,6,-1
260,2021-08-19,22,gnql,24,1
261,2021-08-19,22,riot,7,-1
262,2021-08-19,24,gnql,12,-1
263,2021-08-20,0,gnql,141,-1
264,2021-08-20,3,gnql,6,1
265,2021-08-20,3,riot,2,0
266,2021-08-20,4,context,192377,-1
267,2021-08-20,5,gnql,3,-1
268,2021-08-20,5,riot,1,0
269,2021-08-20,6,context,461,-1
270,2021-08-20,47,gnql,3,-1
271,2021-08-20,47,riot,1,-1
272,2021-08-20,48,gnql,6,-1
273,2021-08-20,30,gnql,10,1
274,2021-08-20,37,gnql,253,-1
275,2021-08-20,14,gnql,24,-1
276,2021-08-20,31,gnql,3,-1
277,2021-08-20,31,riot,1,-1
278,2021-08-20,15,gnql,5,-1
279,2021-08-20,40,gnql,2,1
280,2021-08-20,18,context,4760,-1
281,2021-08-20,18,riot,4672,-1
282,2021-08-20,19,gnql,43,-1
283,2021-08-20,19,riot,14,-1
284,2021-08-20,21,gnql,406,-1
285,2021-08-20,21,noise_quick,1270171,-1
286,2021-08-20,21,riot,879,-1
287,2021-08-20,62,analysis,12,0
288,2021-08-20,43,context,1,-1
289,2021-08-20,43,riot,1,-1
290,2021-08-20,24,gnql,12,-1
291,2021-08-21,0,gnql,144,-1
292,2021-08-21,4,context,81838,-1
293,2021-08-21,6,context,80,-1
294,2021-08-21,63,analysis,17,-1
295,2021-08-21,63,gnql,6,-1
296,2021-08-21,48,gnql,6,-1
297,2021-08-21,48,riot,1,0
298,2021-08-21,30,gnql,4,1
299,2021-08-21,27,gnql,5,-1
300,2021-08-21,27,riot,3,-1
301,2021-08-21,14,gnql,24,-1
302,2021-08-21,19,gnql,105,-1
303,2021-08-21,19,riot,40,-1
304,2021-08-21,21,gnql,423,-1
305,2021-08-21,24,gnql,12,-1
306,2021-08-22,0,gnql,143,-1
307,2021-08-22,4,context,78100,-1
308,2021-08-22,64,gnql,6,-1
309,2021-08-22,64,riot,2,-1
310,2021-08-22,6,context,158,-1
311,2021-08-22,7,gnql,1,-1
312,2021-08-22,8,gnql,3,-1
313,2021-08-22,8,riot,1,0
314,2021-08-22,10,gnql,28,-1
315,2021-08-22,10,riot,10,-1
316,2021-08-22,29,gnql,11,-1
317,2021-08-22,29,riot,6,-1
318,2021-08-22,27,gnql,3,-1
319,2021-08-22,27,riot,1,-1
320,2021-08-22,13,gnql,3,1
321,2021-08-22,13,riot,1,-1
322,2021-08-22,14,gnql,24,-1
323,2021-08-22,39,gnql,3,-1
324,2021-08-22,39,riot,1,0
325,2021-08-22,65,gnql,3,-1
326,2021-08-22,65,riot,1,0
327,2021-08-22,66,gnql,10,-1
328,2021-08-22,66,riot,3,-1
329,2021-08-22,19,gnql,93,-1
330,2021-08-22,19,riot,35,-1
331,2021-08-22,21,gnql,438,-1
332,2021-08-22,24,gnql,12,-1
333,2021-08-23,45,gnql,3,-1
334,2021-08-23,45,riot,1,-1
335,2021-08-23,0,gnql,141,-1
336,2021-08-23,2,gnql,27,1
337,2021-08-23,2,riot,8,-1
338,2021-08-23,4,context,199570,-1
339,2021-08-23,64,riot,1,-1
340,2021-08-23,6,context,282,-1
341,2021-08-23,7,gnql,11,-1
342,2021-08-23,7,riot,1,-1
343,2021-08-23,63,analysis,2,-1
344,2021-08-23,63,gnql,2,-1
345,2021-08-23,63,riot,1,0
346,2021-08-23,10,gnql,5,-1
347,2021-08-23,10,riot,2,-1
348,2021-08-23,49,gnql,4,-1
349,2021-08-23,49,riot,1,-1
350,2021-08-23,30,gnql,1,1
351,2021-08-23,37,gnql,26,-1
352,2021-08-23,37,riot,1,0
353,2021-08-23,14,context,1,-1
354,2021-08-23,14,gnql,311,-1
355,2021-08-23,14,noise_quick,1873539,-1
356,2021-08-23,14,riot,1,-1
357,2021-08-23,67,gnql,17,-1
358,2021-08-23,67,riot,2,-1
359,2021-08-23,15,gnql,14,-1
360,2021-08-23,28,gnql,2,-1
361,2021-08-23,28,riot,1,-1
362,2021-08-23,16,gnql,12,-1
363,2021-08-23,16,riot,1,-1
364,2021-08-23,68,gnql,14,-1
365,2021-08-23,68,riot,1,-1
366,2021-08-23,66,gnql,2,-1
367,2021-08-23,21,context,1,-1
368,2021-08-23,21,gnql,541,-1
369,2021-08-23,21,noise_quick,361297,-1
370,2021-08-23,24,gnql,12,-1
371,2021-08-24,45,gnql,9,-1
372,2021-08-24,45,riot,5,-1
373,2021-08-24,0,gnql,144,-1
374,2021-08-24,4,context,179747,-1
375,2021-08-24,60,gnql,3,1
376,2021-08-24,60,riot,1,0
377,2021-08-24,69,gnql,5,0
