dt,user_id,type,api_count
2021-08-18,53,gnql,9
2021-08-18,54,gnql,12
2021-08-18,55,gnql,16
2021-08-18,56,gnql,18
2021-08-18,56,riot,2
2021-08-18,57,gnql,8
2021-08-18,58,context,2
2021-08-18,59,context,2
2021-08-18,21,gnql,350
2021-08-18,21,noise_quick,2
2021-08-18,44,context,1
2021-08-18,44,riot,2
2021-08-18,24,gnql,12
2021-08-19,45,gnql,2
2021-08-19,45,riot,1
2021-08-19,0,gnql,144
2021-08-19,4,context,185293
2021-08-19,60,gnql,4
2021-08-19,60,riot,1
2021-08-19,6,context,299
2021-08-19,7,gnql,2
2021-08-19,47,gnql,6
2021-08-19,47,riot,2
2021-08-19,10,gnql,2
2021-08-19,10,riot,1
2021-08-19,48,gnql,1
2021-08-19,48,riot,1
2021-08-19,30,gnql,7
2021-08-19,30,riot,1
2021-08-19,14,gnql,24
2021-08-19,52,gnql,16
2021-08-19,52,riot,6
2021-08-19,31,gnql,3
2021-08-19,31,riot,1
2021-08-19,61,gnql,3
2021-08-19,18,context,10331
2021-08-19,18,riot,10296
2021-08-19,50,gnql,8
2021-08-19,50,riot,3
2021-08-19,51,analysis,21
2021-08-19,21,gnql,551
2021-08-19,21,noise_quick,6
2021-08-19,22,gnql,24
2021-08-19,22,riot,7
2021-08-19,24,gnql,12
2021-08-20,0,gnql,141
2021-08-20,3,gnql,6
2021-08-20,3,riot,2
2021-08-20,4,context,192377
2021-08-20,5,gnql,3
2021-08-20,5,riot,1
2021-08-20,6,context,461
2021-08-20,47,gnql,3
2021-08-20,47,riot,1
2021-08-20,48,gnql,6
2021-08-20,30,gnql,10
2021-08-20,37,gnql,253
2021-08-20,14,gnql,24
2021-08-20,31,gnql,3
2021-08-20,31,riot,1
2021-08-20,15,gnql,5
2021-08-20,40,gnql,2
2021-08-20,18,context,4760
2021-08-20,18,riot,4672
2021-08-20,19,gnql,43
2021-08-20,19,riot,14
2021-08-20,21,gnql,406
2021-08-20,21,noise_quick,1270171
2021-08-20,21,riot,879
2021-08-20,62,analysis,12
2021-08-20,43,context,1
2021-08-20,43,riot,1
2021-08-20,24,gnql,12
2021-08-21,0,gnql,144
2021-08-21,4,context,81838
2021-08-21,6,context,80
2021-08-21,63,analysis,17
2021-08-21,63,gnql,6
2021-08-21,48,gnql,6
2021-08-21,48,riot,1
2021-08-21,30,gnql,4
2021-08-21,27,gnql,5
2021-08-21,27,riot,3
2021-08-21,14,gnql,24
2021-08-21,19,gnql,105
2021-08-21,19,riot,40
2021-08-21,21,gnql,423
2021-08-21,24,gnql,12
2021-08-22,0,gnql,143
2021-08-22,4,context,78100
2021-08-22,64,gnql,6
2021-08-22,64,riot,2
2021-08-22,6,context,158
2021-08-22,7,gnql,1
2021-08-22,8,gnql,3
2021-08-22,8,riot,1
2021-08-22,10,gnql,28
2021-08-22,10,riot,10
2021-08-22,29,gnql,11
2021-08-22,29,riot,6
2021-08-22,27,gnql,3
2021-08-22,27,riot,1
2021-08-22,13,gnql,3
2021-08-22,13,riot,1
2021-08-22,14,gnql,24
2021-08-22,39,gnql,3
2021-08-22,39,riot,1
2021-08-22,65,gnql,3
2021-08-22,65,riot,1
2021-08-22,66,gnql,10
2021-08-22,66,riot,3
2021-08-22,19,gnql,93
2021-08-22,19,riot,35
2021-08-22,21,gnql,438
2021-08-22,24,gnql,12
2021-08-23,45,gnql,3
2021-08-23,45,riot,1
